time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,13,6,0,0
2026-05-07 00:00:00+00:00,25,10,0,0
2026-05-08 00:00:00+00:00,6,4,0,0
2026-05-09 00:00:00+00:00,12,5,0,0
2026-05-10 00:00:00+00:00,24,7,0,0
2026-05-11 00:00:00+00:00,10,5,0,0
2026-05-12 00:00:00+00:00,26,8,0,0
2026-05-13 00:00:00+00:00,10,5,0,0
2026-05-14 00:00:00+00:00,35,8,0,0
2026-05-15 00:00:00+00:00,20,7,0,0
2026-05-16 00:00:00+00:00,14,5,0,0
2026-05-17 00:00:00+00:00,31,10,0,0
2026-05-18 00:00:00+00:00,27,10,0,0
2026-05-19 00:00:00+00:00,33,13,0,0
